iter	Passed	Remaining
315	115471	67236
316	115764	66829
317	116068	66429
318	116367	66026
319	116644	65612
320	116983	65233
321	117252	64816
322	117593	64439
323	117855	64020
324	118186	63639
325	118635	63320
326	118998	62956
327	119349	62585
328	119658	62193
329	119961	61798
330	120291	61417
331	120676	61065
332	121016	60689
333	121289	60281
334	121603	59894
335	121862	59480
336	122190	59101
337	122559	58741
338	122843	58341
339	123158	57956
340	123453	57563
341	123770	57180
342	124057	56784
343	124353	56392
344	124646	56000
345	124958	55617
346	125304	55249
347	125662	54886
348	125978	54506
349	126291	54124
350	126635	53757
351	126893	53352
352	127235	52984
353	127504	52586
354	127855	52222
355	128118	51823
356	128530	51484
357	129005	51169
358	129350	50803
359	129655	50421
360	129958	50039
361	130245	49651
362	130561	49275
363	130908	48911
364	131200	48526
365	131580	48174
366	131930	47811
367	132264	47442
368	132608	47077
369	132855	46679
370	133151	46298
371	133471	45925
372	133755	45541
373	134054	45162
374	134377	44792
375	134742	44436
376	135012	44049
377	135294	43666
378	135578	43284
379	135906	42917
380	136271	42562
381	136526	42173
382	136827	41798
383	137114	41419
384	137414	41046
385	137730	40676
386	138057	40311
387	138354	39937
388	138685	39573
389	138990	39202
390	139331	38841
391	139617	38465
392	139903	38090
393	140256	37733
394	140549	37361
395	140840	36988
396	141177	36627
397	141481	36259
398	141747	35880
399	142028	35507
400	142350	35143
401	142642	34773
402	142956	34408
403	143192	34025
404	143474	33654
405	143804	33294
406	144085	32923
407	144447	32571
408	144823	32222
409	145122	31856
410	145431	31492
411	145736	31128
412	146075	30771
413	146445	30421
414	146778	30063
415	147022	29687
416	147360	29330
417	147682	28971
418	147988	28608
419	148281	28244
420	148595	27883
421	148900	27521
422	149204	27160
423	149504	26797
424	149791	26433
425	150062	26067
426	150385	25710
427	150718	25354
428	151103	25007
429	151427	24650
430	151767	24296
431	152015	23928
432	152329	23570
433	152615	23208
434	152932	22851
435	153196	22487
436	153466	22124
437	153823	21774
438	154078	21409
439	154354	21048
440	154642	20689
441	154933	20330
442	155198	19969
443	155549	19618
444	155873	19265
445	156187	18910
446	156509	18557
447	156797	18199
448	157112	17845
449	157407	17489
450	157708	17134
451	158019	16780
452	158313	16425
453	158595	16069
454	158905	15715
455	159214	15362
456	159498	15007
457	159762	14650
458	160018	14293
459	160292	13938
460	160575	13584
461	160922	13236
462	161224	12884
463	161547	12533
464	161824	12180
465	162123	11828
466	162455	11479
467	162766	11129
468	163071	10778
469	163376	10428
470	163688	10078
471	164039	9731
472	164348	9381
473	164681	9033
474	164986	8683
475	165300	8334
476	165587	7984
477	165885	7634
478	166305	7291
479	166676	6944
480	167001	6596
481	167349	6249
482	167834	5907
483	168132	5558
484	168499	5211
485	168835	4863
486	169206	4516
487	169548	4169
488	169901	3821
489	170210	3473
490	170510	3125
491	170798	2777
492	171137	2429
493	171542	2083
494	171840	1735
495	172142	1388
496	172483	1041
497	172763	693
498	173079	346
499	173351	0
