iter	Logloss
283	0.1360913654
284	0.1360457509
285	0.1359897346
286	0.1359441231
287	0.1358919007
288	0.1358482366
289	0.1357990399
290	0.1357620373
291	0.1357125269
292	0.1356771688
293	0.1356286675
294	0.1355936931
295	0.1355446348
296	0.1355026616
297	0.1354537837
298	0.1354285349
299	0.1353984438
300	0.1353438294
301	0.1353049615
302	0.1352659071
303	0.1352281948
304	0.1351730332
305	0.1351327149
306	0.1350732233
307	0.1350185778
308	0.1349709994
309	0.1349398725
310	0.1349041592
311	0.1347461274
312	0.1347253772
313	0.1346958067
314	0.1346450119
315	0.1345968384
316	0.1345566148
317	0.1345189646
318	0.134468341
319	0.1344395988
320	0.1343914066
321	0.1343581693
322	0.1343268923
323	0.1343072943
324	0.1342506155
325	0.1342045386
326	0.1341609789
327	0.1341156197
328	0.1340604345
329	0.1340384534
330	0.1340024289
331	0.1339585259
332	0.1339163264
333	0.1338783749
334	0.1338514148
335	0.1338221301
336	0.1337808196
337	0.1337417847
338	0.1337052636
339	0.133664624
340	0.1336318162
341	0.1335912956
342	0.1335616799
343	0.1335193097
344	0.1334876499
345	0.1334442348
346	0.1334071405
347	0.1333280467
348	0.1332885306
349	0.1332501468
350	0.1331570298
351	0.1331273016
352	0.1330911402
353	0.1330620021
354	0.1330006226
355	0.1329811871
356	0.1329448332
357	0.13275103
358	0.1327077798
359	0.1326692297
360	0.1326468041
361	0.1326111728
362	0.1325704225
363	0.1325246851
364	0.1324960718
365	0.132459025
366	0.1324219477
367	0.1323797761
368	0.1322544554
369	0.1322288744
370	0.1322032293
371	0.1321637889
372	0.1321328159
373	0.1321032013
374	0.1320646106
375	0.1320253581
376	0.132006793
377	0.1319813187
378	0.1319440354
379	0.1319057845
380	0.1318603268
381	0.1318385601
382	0.1317956836
383	0.1317661923
384	0.1317288176
385	0.1316946593
386	0.1316572729
387	0.1316253995
388	0.1315840401
389	0.1315523273
390	0.1315067954
391	0.1314702212
392	0.1314461146
393	0.1314064159
394	0.1313716393
395	0.1313472108
396	0.1312031646
397	0.1311661123
398	0.1311424475
399	0.1311116988
400	0.1310787612
401	0.1310477107
402	0.1310177869
403	0.130998253
404	0.1309762099
405	0.1309470703
406	0.1309172242
407	0.1308772093
408	0.1308379239
409	0.1308103469
410	0.1307759057
411	0.1307502459
412	0.1307058136
413	0.1306624852
414	0.1306195174
415	0.1306039702
416	0.1305729974
417	0.1305393842
418	0.130505619
419	0.1304788705
420	0.1304510393
421	0.1304185497
422	0.1303867599
423	0.130362086
424	0.1303276471
425	0.1302981599
426	0.1302711516
427	0.1302304495
428	0.1301855642
429	0.1301554828
430	0.1301137221
431	0.1300945617
432	0.1300604791
433	0.1300262259
434	0.1299274562
435	0.129899075
436	0.1298748084
437	0.1298284019
438	0.1298042532
439	0.1297802298
440	0.1296165236
441	0.129594634
442	0.1295706228
443	0.1295422751
444	0.1295134835
445	0.1294849838
446	0.1293702782
447	0.1293309869
448	0.1293071894
449	0.1292831896
450	0.1292466486
451	0.1292192533
452	0.1291946106
453	0.1291660261
454	0.128976746
455	0.1289498706
456	0.1289217193
457	0.1289016177
458	0.1288779582
459	0.1287325648
460	0.1287073559
461	0.1286810895
462	0.1286478861
463	0.1286221531
464	0.1285899009
465	0.1285638838
466	0.1285320666
467	0.128505695
468	0.1284621882
469	0.1284318111
470	0.1284087756
471	0.1283704786
472	0.1283363559
473	0.1283086521
474	0.1282834215
475	0.1282492989
476	0.1282212125
477	0.1282003674
478	0.1281725294
479	0.1281350383
480	0.1281009042
481	0.1280681254
482	0.1280434021
483	0.1280195386
484	0.1279850224
485	0.1279629034
486	0.1279314711
487	0.1279088943
488	0.127873411
489	0.1278454054
490	0.1278325503
491	0.1278035129
492	0.1277705214
493	0.1277304484
494	0.1277007856
495	0.127677196
496	0.1276468197
497	0.1276207297
498	0.127594145
499	0.1275684828
